xvals,yvals,upper,lower,factor
0.5099999904632568,5.19328938794716,8.185789105635243,2.200789670259077,sizeleg
0.7687499821186066,4.965316938943768,7.794591767690086,2.136042110197449,sizeleg
1.0274999737739563,4.737344489939684,7.405437873595892,2.0692511062834757,sizeleg
1.286249965429306,4.5093720409376115,7.018744539823066,1.9999995420521572,sizeleg
1.5449999570846558,4.281399591935991,6.634860708743607,1.927938475128376,sizeleg
1.8037499487400055,4.053427142932622,6.254757758347516,1.8520965275177281,sizeleg
2.0624999403953552,3.8254546939287573,5.878963835927713,1.7719455519298015,sizeleg
2.321249932050705,3.5974822449256694,5.508566735521134,1.6863977543302053,sizeleg
2.5799999237060547,3.369509795921728,5.1447945340617025,1.5942250577817536,sizeleg
2.8387499153614044,3.1415373469187324,4.789419992662106,1.493654701175359,sizeleg
3.097499907016754,2.913564897916268,4.444385810602386,1.3827439852301506,sizeleg
3.356249898672104,2.6855924489132907,4.112501168567697,1.2586837292588844,sizeleg
3.6149998903274536,2.457619999910011,3.7965519455676637,1.1186880542523583,sizeleg
3.8737498819828033,2.2296475509085507,3.500016050322845,0.9592790514942562,sizeleg
4.132499873638153,2.0016751019052963,3.226026615105977,0.7773235887046157,sizeleg
4.391249865293503,1.7737026528998292,2.977222392278728,0.5701829135209302,sizeleg
4.6499998569488525,1.545730203897198,2.755030238191776,0.3364301696026202,sizeleg
4.908749848604202,1.317757754895148,2.5589499157180904,0.07656559407220564,sizeleg
5.167499840259552,1.0897853058918483,2.3870906039299973,-0.20751999214630046,sizeleg
5.426249831914902,0.8618128568871994,2.236492375251027,-0.5128666614766282,sizeleg
5.6849998235702515,0.6338404078854537,2.1037976133282346,-0.836116797557327,sizeleg
5.943749815225601,0.40586795888271693,1.9857791717551707,-1.1740432539897367,sizeleg
6.202499806880951,0.17789550987828492,1.879582111532372,-1.5237910917758024,sizeleg
6.461249798536301,-0.05007693912404046,1.7828617897313466,-1.8830156679794277,sizeleg
6.71999979019165,-0.27804938812783164,1.6936937751000882,-2.2497925513557515,sizeleg
