"RespondentID","age","male","race_black","educ_r","inc_r","commutetrip","city","overall1_1","overall2_1","triprating_1","cr_rider","cr_line","cr_min_late","cr_min_travel","trx_time","cityserv_comb","mayor_app_comb","treat_2","party","ideo","polinfo","voted","hwtravel_delay","delay_comb","delay_source","delay_line","delay_comb_log","waittraveltime_comb","waittravel_source","waittraveltime_comb_log","runningvar_comb","runningvar_comb_min"
3081583064,4,0,NA,NA,1,1,"Newton",0.166666666666667,0.166666666666667,0.166666666666667,1,"Framingham/Worcester Line",NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081597915,4,0,NA,NA,0,0,"Boston",0.333333333333333,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081634670,5,0,NA,NA,0.75,1,"Lynn",0.333333333333333,0.666666666666667,0.333333333333333,0,NA,NA,NA,"2015-03-17 07:42:29",NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081661178,5,0,0,0.2,0,1,"Waltham",0.833333333333333,0.666666666666667,0.5,0,NA,NA,NA,"2015-03-20 17:08:42",5,1,0,0,0.333333333333333,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081712448,5,0,NA,NA,0.5,1,"Fitchburg",0.166666666666667,0,0.333333333333333,1,"Fitchburg Line",0,93,NA,NA,NA,0,NA,NA,NA,0,NA,0,"CR","Fitchburg Line",0,93,"CR",4.54329478227,NA,NA
3081733805,5,0,0,NA,1,1,"Arlington",0.666666666666667,0.666666666666667,0.833333333333333,0,NA,NA,NA,"2015-03-18 06:55:58",5,0.5,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081746785,3,0,0,0.8,0.25,1,"Boston",0.833333333333333,0.666666666666667,1,0,NA,NA,NA,NA,5,0.5,0,-1,0,0.4,0,NA,NA,NA,"Kingston/Plymouth Line",NA,NA,NA,NA,NA,NA
3081809273,5,0,NA,NA,1,1,"Winchester",0.333333333333333,0.166666666666667,0.666666666666667,0,NA,NA,NA,"2015-03-18 06:57:19",NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081816622,3,0,0,0.8,0.25,1,"Boston",0.5,0,0.5,0,NA,NA,NA,"2015-03-18 09:21:41",2,NA,0,-1,0,0.8,1,0.366666666666667,0.366666666666667,"Subway","Orange Line",0.312374685042152,16.0166666666667,"Subway",2.83419325594256,-42,-0.7
3081816626,5,0,NA,NA,1,0,"Everett",0.5,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081823703,5,0,NA,NA,NA,1,"",0.666666666666667,0.666666666666667,0.833333333333333,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081859343,3,0,0,0.8,1,1,"Quincy",0.666666666666667,0.333333333333333,0.666666666666667,0,NA,NA,NA,NA,5,0.25,0,-1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081877753,4,0,NA,NA,0.75,1,"Lowell",0.666666666666667,0.666666666666667,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081881635,2,0,0,NA,0.25,1,"",0.333333333333333,0.333333333333333,0.833333333333333,0,NA,NA,NA,"2015-03-26 08:48:19",NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081884096,3,0,NA,NA,1,0,"Boston",0.333333333333333,0.666666666666667,0.666666666666667,0,NA,NA,NA,"2015-03-17 20:24:08",NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081887532,5,1,NA,NA,NA,1,"Arlington",0,0,0.166666666666667,0,NA,NA,NA,"2015-03-20 05:50:29",NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081910009,6,1,NA,NA,0.5,0,"Scituate",0.666666666666667,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081932571,3,0,0,1,0.75,0,"Medford",0.666666666666667,0.666666666666667,0.833333333333333,0,NA,NA,NA,"2015-03-14 11:25:21",6,0.75,0,-1,0,0.2,1,6.53333333333333,6.53333333333333,"Subway","Orange Line",2.01933761761013,13.9666666666667,"Subway",2.7058255060801,-106,-1.76666666666667
3081935484,4,1,NA,NA,0,1,"Cranston",0.833333333333333,0.833333333333333,0.833333333333333,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081994457,2,0,NA,NA,0,0,"Lowell",0.666666666666667,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082030072,4,0,NA,NA,0.5,1,"Brookline",0.333333333333333,0.333333333333333,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
