"RecipientID","age","male","race_1","race_2","race_3","race_4","race_5","race_5_TEXT","race_6","race_7","race_black","latino","educ_r","inc_r","DL_indiv","DL_house","auto_house","smartphone","commutetrip","tripfreq_1","city","optin","overall1_1","overall2_1","triprating_1","rating_1","rating_5","wait1","cr_rider","cr_line","cr_min_late","cr_min_travel","cr_min_benchmark","trx_time","next_train","prev_train","start_mode","start_line","hw_mean","hw_bench","hw_perf","hw_guess","hw_guess_min","hw_mean_min","traveltime_mean","traveltime_guess","traveltime_bench","traveltime_bench_guess","traveltime_perf","cityserv_comb","mayor_app_comb","treat_2","party","ideo","polinfo","voted","cr_min_late.1","hwtravel_delay","hwtravel_delay_log","delay_comb","delay_source","delay_line","delay_comb_log","delay_comb_dev","delay_comb_bin","delay_comb_bin2","hwtraveltime","waittraveltime_comb","waittravel_source","waittraveltime_comb_log","runningvar_comb","runningvar_comb_min"
"MLRP_77KuxJRCpxzYzKR",1,0,0,0,0,0,0,"",1,NA,0,0,NA,NA,1,4,4,1,1,7,"1966",0,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,5,1,"Newburyport/Rockport Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Newburyport/Rockport Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR","Newburyport/Rockport Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_77X304F5MnRxRaJ",1,1,0,0,0,0,0,"",1,NA,0,0,NA,1,2,4,2,1,0,NA,"2169",0,0.333333333333333,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_796LOwSKGGekHBP",0.25,1,0,0,0,0,0,"",1,NA,0,0,0.2,0,2,2,2,1,0,4,"2180",1,0.333333333333333,0.333333333333333,0.5,1,1,5,0,NA,NA,NA,NA,NA,NA,NA,"Bus","132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-1,0,0.6,1,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_79UCGrdQXb08uYR",0.75,0,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,3,1,0,NA,"2140",0,0.333333333333333,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_7aKcWD90TcCzomp",0.5,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,2,3,1,0,NA,"2906",0,0.166666666666667,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_7aLtUFQ5GKdaJAF",0.5,0,0,0,0,0,0,"",1,NA,0,0,0.8,0.25,1,2,1,1,1,7,"2155",1,0.666666666666667,0.833333333333333,1,1,1,5,0,NA,NA,NA,NA,"2015-07-28 09:29:00","2015-07-28 09:30:03","2015-07-28 09:23:31","Bus","94",392,240,1,63,1.05,6.53333333333333,478.714285714286,509,475,475,1.00781954887218,0.666666666666667,0.5,0,-1,0,0.8,1,NA,-0.383333333333333,0.448950220047903,-0.383333333333333,"Subway","Red Line",0.448950220047903,NA,0,1,9.53333333333333,9.53333333333333,"Subway",2.35454483192476,-63,-1.05
"MLRP_7OgFl3JqYq9kOMZ",0.75,0,NA,NA,NA,NA,NA,"",NA,1,0,1,0.4,NA,1,2,2,1,1,5,"02145",1,0.666666666666667,0.833333333333333,0.5,0.5,0.5,5,0,NA,NA,NA,NA,"2015-07-21 17:07:00",NA,NA,"Bus","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.5,0,0,0.5,1,1,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_7OgoC4YtvKyBjaB",1,NA,0,0,0,0,1,"Mixed racial background",0,NA,0,0,0.8,1,1,5,3,2,1,7,"2066",1,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,10,1,"Greenbush Line",0,59,59,NA,NA,NA,"Commuter Rail","Greenbush Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.75,1,-1,0.333333333333333,1,1,0,NA,NA,0,"CR","Greenbush Line",0,-1.90909090909091,0,0,NA,59,"CR",4.0943445622221,NA,NA
"MLRP_7PNT5J68Q2uYJsp",1,0,0,0,0,0,0,"",1,NA,0,0,1,NA,1,5,NA,1,1,7,"1778",1,0.333333333333333,0.166666666666667,0.666666666666667,0.833333333333333,0.833333333333333,7,1,"Framingham/Worcester Line",5,104,99,NA,NA,NA,"Commuter Rail","Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.25,0,1,0.833333333333333,1,1,5,NA,NA,5,"CR","Framingham/Worcester Line",1.79175946922805,4.77272727272727,1,2,NA,104,"CR",4.65396035015752,NA,NA
"MLRP_7PWqu3R89ib102N",1,1,0,0,1,0,0,"",0,NA,1,0,0.4,0.5,1,2,2,1,1,7,"2119",1,0.833333333333333,0.833333333333333,1,1,1,5,0,NA,NA,NA,NA,"2015-07-20 07:01:00",NA,NA,"Bus","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,1,-1,0.333333333333333,0.8,1,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_7QA0U13IZSpJrtX",0.5,0,0,0,0,0,0,"",1,NA,0,0,NA,0.5,1,2,1,1,1,6,"2130",0,0.833333333333333,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,"Subway","Green Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_7QzVWyfsFJl4Dc1",0.5,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,3,2,1,0,NA,"2155",0,0.666666666666667,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_7TJHetHHvedzojz",0.5,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,3,2,1,1,7,"2134",0,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,15,0,NA,NA,NA,NA,"2015-07-22 08:12:00",NA,NA,"Subway","Green Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
